 1.000E+00 1.119E+04
 1.166E+00 9.538E+03
 1.359E+00 8.019E+03
 1.585E+00 6.490E+03
 1.848E+00 5.240E+03
 2.154E+00 4.193E+03
 2.512E+00 3.283E+03
 2.712E+00 2.904E+03
 2.818E+00 3.155E+03
 2.929E+00 5.753E+03
 3.043E+00 5.390E+03
 3.162E+00 3.672E+03
 3.286E+00 2.488E+03
 3.414E+00 2.165E+03
 3.548E+00 1.993E+03
 3.687E+00 1.842E+03
 3.831E+00 1.763E+03
 3.981E+00 1.682E+03
 4.299E+00 1.545E+03
 4.642E+00 1.433E+03
 5.012E+00 1.259E+03
 5.412E+00 1.149E+03
 5.843E+00 1.229E+03
 6.310E+00 1.172E+03
 6.813E+00 1.124E+03
 7.356E+00 1.013E+03
 7.943E+00 9.600E+02
 8.577E+00 1.015E+03
 8.912E+00 1.332E+03
 9.261E+00 1.618E+03
 9.623E+00 2.084E+03
 9.810E+00 2.527E+03
 1.000E+01 2.416E+03
 1.039E+01 2.348E+03
 1.080E+01 2.284E+03
 1.122E+01 2.330E+03
 1.166E+01 2.250E+03
 1.259E+01 1.741E+03
 1.359E+01 1.422E+03
 1.468E+01 1.196E+03
 1.585E+01 1.190E+03
 1.711E+01 1.361E+03
 1.848E+01 1.395E+03
 1.995E+01 1.148E+03
 2.155E+01 9.234E+02
 2.512E+01 6.356E+02
 2.929E+01 4.497E+02
 3.415E+01 3.744E+02
 3.687E+01 3.605E+02
 3.981E+01 3.548E+02
 4.299E+01 3.494E+02
 4.642E+01 3.181E+02
 5.412E+01 2.266E+02
 6.310E+01 1.699E+02
 7.357E+01 1.264E+02
 8.577E+01 9.412E+01
 1.000E+02 6.855E+01
 1.166E+02 5.340E+01
 1.359E+02 4.137E+01
 1.585E+02 3.204E+01
 1.848E+02 2.396E+01
 2.260E+02 1.691E+01
 3.500E+02 7.836E+00
 5.000E+02 3.920E+00
 7.000E+02 2.003E+00
 1.000E+03 1.065E+00
 1.300E+03 7.006E-01
